"Price Percent Per Item","Price Percent Per Item"
"Item Price Percent","Item Price Percent"
"Price Per One Unit Of Weight","Price Per One Unit Of Weight"
Rate,Rate
"Region Information","Region Information"
"Is Custom","Is Custom"
"Default Name","Default Name"
"Add New Region","Add New Region"
"You really want to change the status of the chosen regions?","You really want to change the status of the chosen regions?"
"Country Id","Country Id"
Custom,Custom
Original,Original
"Add New Location Group","Add New Location Group"
"You really want to change the status of the chosen Location Groups?","You really want to change the status of the chosen Location Groups?"
"When disabled - only the code field will be used for binding for the all entities, except a rates, which will be created anew","When disabled - only the code field will be used for binding for the all entities, except a rates, which will be created anew"
"Import/Export Configuration","Import/Export Configuration"
"Use the ID field to bind fields during the import-export process","Use the ID field to bind fields during the import-export process"
"A total of %1 record(s) have been deactivated.","A total of %1 record(s) have been deactivated."
"Something went wrong, nothing was deleted.","Something went wrong, nothing was deleted."
"total weight","total weight"
